year,round,team,points,w,d,l,gf,ga,gd,position
2006,1,Gremio,3,1,0,0,2,0,2,1
2006,1,Ponte Preta,3,1,0,0,3,2,1,2
2006,1,Fluminense,3,1,0,0,2,1,1,3
2006,1,Sao Caetano,3,1,0,0,2,1,1,4
2006,1,Juventude,3,1,0,0,1,0,1,5
2006,1,Sao Paulo,3,1,0,0,1,0,1,6
2006,1,Botafogo-RJ,3,1,0,0,1,0,1,7
2006,1,Internacional,1,0,1,0,1,1,0,8
2006,1,Vasco,1,0,1,0,1,1,0,9
2006,1,Goias,1,0,1,0,0,0,0,10
2006,1,Santos,1,0,1,0,0,0,0,11
2006,1,Figueirense,1,0,1,0,0,0,0,12
2006,1,Santa Cruz,1,0,1,0,0,0,0,13
2006,1,Palmeiras,0,0,0,1,2,3,-1,14
2006,1,Athletico-PR,0,0,0,1,1,2,-1,15
2006,1,Cruzeiro,0,0,0,1,1,2,-1,16
2006,1,Flamengo,0,0,0,1,0,1,-1,17
2006,1,Fortaleza,0,0,0,1,0,1,-1,18
2006,1,Parana,0,0,0,1,0,1,-1,19
2006,1,Corinthians,0,0,0,1,0,2,-2,20
2006,2,Fluminense,6,2,0,0,3,1,2,1
2006,2,Figueirense,4,1,1,0,6,1,5,2
2006,2,Santos,4,1,1,0,2,0,2,3
2006,2,Vasco,4,1,1,0,3,2,1,4
2006,2,Internacional,4,1,1,0,2,1,1,5
2006,2,Botafogo-RJ,4,1,1,0,1,0,1,6
2006,2,Cruzeiro,3,1,0,1,4,3,1,7
2006,2,Flamengo,3,1,0,1,3,2,1,8
2006,2,Corinthians,3,1,0,1,3,2,1,9
2006,2,Ponte Preta,3,1,0,1,4,4,0,10
2006,2,Gremio,3,1,0,1,3,3,0,11
2006,2,Fortaleza,3,1,0,1,1,1,0,12
2006,2,Sao Paulo,3,1,0,1,1,1,0,13
2006,2,Juventude,3,1,0,1,2,3,-1,14
2006,2,Sao Caetano,3,1,0,1,2,4,-2,15
2006,2,Goias,1,0,1,1,0,1,-1,16
2006,2,Parana,1,0,1,1,0,1,-1,17
2006,2,Santa Cruz,1,0,1,1,0,1,-1,18
2006,2,Athletico-PR,0,0,0,2,1,4,-3,19
2006,2,Palmeiras,0,0,0,2,3,9,-6,20
2006,3,Santos,7,2,1,0,4,1,3,1
2006,3,Fluminense,7,2,1,0,4,2,2,2
2006,3,Internacional,7,2,1,0,3,1,2,3
